,questions,smartvote_answers,Simplified question,Unnamed: 3,Topic,Keywords,binary_smarvote_answer,huggingface_answers
0,tes-vous favorable à une hausse de l'âge de la retraite (p. ex. à 67 ans,1,''Are you in favour of raising the retirement age?'',,Family,pension; AHV; AVS,1.0,"{'score': 0.18209411203861237, 'start': 431, 'end': 465, 'answer': 'I would even support an IV pension'}"
1,'État devrait-il renforcer son soutien financier à la création de structures d'accueil extra-familia,4,''Should the state support childcare? '',,Family,benefit; childcare; nursery,0.0,"{'score': 0.006305252201855183, 'start': 431, 'end': 465, 'answer': 'I would even support an IV pension'}"
2,ne initiative demande l'instauration d'un congé paternité payé de quatre semaines. Êtes-vous en faveur de cette propositio,4,''Are you in favour of a paternity leave?'',,Family,paternity; leave ,0.0,"{'score': 0.050571974366903305, 'start': 431, 'end': 465, 'answer': 'I would even support an IV pension'}"
3,es rentes de la caisse de pension doivent-elles être adaptées à l'allongement de l'espérance de vie (réduction du taux de conversion,4,''Should the finance state pension funds?'',,Family,pension; life expectancy,0.0,"{'score': 0.0023603409063071012, 'start': 431, 'end': 465, 'answer': 'I would even support an IV pension'}"
4,outenez-vous les efforts au niveau des cantons visant à réduire les prestations d'aide social,1,''Are you in favor of benefits?'',,Family,benefits; social assistance,1.0,"{'score': 0.10235542058944702, 'start': 431, 'end': 465, 'answer': 'I would even support an IV pension'}"
5,a Confédération devrait-elle encourager davantage la construction de logements d'utilité publiqu,4,''Are you in favor of public housing?'',,Family,social housing; construction; public housing,0.0,"{'score': 0.050098568201065063, 'start': 431, 'end': 465, 'answer': 'I would even support an IV pension'}"
6,es personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale),4,''Should the health insurance cost more'',,Health,health cost; health care cost; premium,0.0,"{'score': 0.1582813560962677, 'start': 644, 'end': 681, 'answer': ""Shouldn't the doctors and politicians""}"
7,pprouveriez-vous le principe du consentement présumé pour le don dorgane,1,''Is organ donation good?'',,Health,organ; donation,1.0,"{'score': 0.17286546528339386, 'start': 9, 'end': 74, 'answer': 'some donations and also weapons deliveries may have been diverted'}"
8,"ne vaccination obligatoire des enfants, basée sur le plan de vaccination suisse, devrait-elle être instauré",4,''Should vaccines be compulsory? '',,Health,vaccine; vaccination,0.0,"{'score': 0.01507563516497612, 'start': 2584, 'end': 2650, 'answer': 'Contergan at that time specifically recommended for pregnant women'}"
9,ne initiative demande que les subsides aux assurances maladie soient conçus de manière à ce que personne n'ait à consacrer plus de dix pour cent de son revenu disponible au paiement des primes. Soutenez-vous cette propositio,4,''Should health be proportional to your income?'',,Health,insurance; premium; subsidies,0.0,"{'score': 0.30132776498794556, 'start': 150, 'end': 154, 'answer': 'wage'}"
10,ne initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette propositio,1,''Should health care costs be reduced?'',,Health,cost brake; health care cost,1.0,"{'score': 0.06045863404870033, 'start': 1520, 'end': 1584, 'answer': 'pharmaceuticals have let themselves be relieved of any liability'}"
11,État devrait-il davantage sengager pour une égalité des chances en matière de formation (p. ex. par des cours de rattrapage subventionnés destinés aux élèves issus de familles à faible revenu,1,''Should we care about education opportunities?'',,Education,education opportunities; subsidies; courses,1.0,"{'score': 0.009150750935077667, 'start': 266, 'end': 297, 'answer': 'tax payers for language courses'}"
12,ensez-vous qu'il soit juste que les écoles octroient des dispenses scolaires en raison de motifs religieux pour certaines matières ou événements (p. ex. le sport ou l'éducation sexuelle,4,''Should schools exempts classes?'',,Education,religion; sex education,0.0,"{'score': 0.0008073304197750986, 'start': 186, 'end': 209, 'answer': 'No integration measures'}"
13,a Confédération devrait-elle accroître son soutien financier à la formation continue et à la reconversion professionnell,4,''Should education have more funding?'',,Education,education support; reconversion,0.0,"{'score': 0.006945855915546417, 'start': 266, 'end': 297, 'answer': 'tax payers for language courses'}"
14,e concept de l'école intégrative prévoit que les enfants ayant des difficultés d'apprentissage ou des handicaps soient scolarisé·e·s dans des classes ordinaires. Soutenez-vous cette approch,4,''Do you support inclusive schools?'',,Education,learning; school; disabilities,0.0,"{'score': 0.08509352058172226, 'start': 186, 'end': 209, 'answer': 'No integration measures'}"
15,eriez-vous favorable à ce que le droit de vote et d'élection soit introduit au niveau communal pour les personnes étrangères qui résident en Suisse depuis au moins dix ans,4,'Should foreigners vote?'',,Immigration,vote; resident; communal elections,0.0,"{'score': 0.17953695356845856, 'start': 1035, 'end': 1085, 'answer': 'international guests want a certificate obligation'}"
16,a limitation de l'immigration a-t-elle pour vous la priorité sur le maintien des accords bilatéraux avec l'U,1,''Should we limit immigration from EU?'',,Immigration,bilateral; EU; immigration,1.0,"{'score': 0.526515543460846, 'start': 460, 'end': 509, 'answer': 'immigration to our social systems must be stopped'}"
17,es personnes sans-papiers devraient-elles pouvoir obtenir plus facilement un statut de séjour régularis,4,''Should undocumented migrants receive a status?'',,Immigration,undocumented; residence; migrants,0.0,"{'score': 0.09068099409341812, 'start': 3757, 'end': 3841, 'answer': 'asylum applications can only be allowed if they are placed directly at a border post'}"
18,tes-vous en faveur d'un durcissement supplémentaire du droit à l'asil,1,''Are you in favor of asylum?'',,Immigration,asylum,1.0,"{'score': 0.14815622568130493, 'start': 1291, 'end': 1311, 'answer': 'both parties support'}"
19,es conditions de naturalisation devraient-elles être revues à la hauss,1,''Should the conditions for naturaliation be increased?'',,Immigration,naturalisation,1.0,"{'score': 0.3824270963668823, 'start': 460, 'end': 509, 'answer': 'immigration to our social systems must be stopped'}"
20,a Confédération devrait-elle soutenir davantage les étrangères et étrangers dans leur intégratio,4,"""Should we support foreigner integration?""",,Immigration,integration,0.0,"{'score': 0.23126552999019623, 'start': 1291, 'end': 1311, 'answer': 'both parties support'}"
21,a consommation de cannabis devrait-elle être légalisée,4,"""Should cannabis be legal?""",,Society,cannabis,0.0,"{'score': 4.4750211714017496e-07, 'start': 139, 'end': 148, 'answer': ""Shouldn't""}"
22,es couples de même sexe devraient-ils avoir les mêmes droits dans tous les domaines que les couples hétérosexuel,1,"""Do we believe in homosexuality equality?""",,Society,homosexual; gay,1.0,"{'score': 0.5288228988647461, 'start': 385, 'end': 409, 'answer': 'gays are still not equal'}"
23,a réglementation de la procréation médicalement assistée devrait-elle être assoupli,4,' Should the regulation of assisted reproduction be relaxed?'',,Society,reproducation,0.0,"{'score': 0.2886667847633362, 'start': 292, 'end': 301, 'answer': 'forbidden'}"
24,tes-vous en faveur d'un contrôle plus strict de l'égalité des salaires entre hommes et femme,4,"""Do you support stricter control of equal pay for men and women?''",,Society,equal; salaries,0.0,"{'score': 0.07450449466705322, 'start': 531, 'end': 581, 'answer': 'I am immediately in favour of halving our salaries'}"
25,eriez-vous favorable à ce qu'un médecin soit autorisé à administrer l'euthanasie active directe en Suiss,1,"""Should euthanasia be legal?""",,Society,doctor; euthanasia ,1.0,"{'score': 0.0046555474400520325, 'start': 339, 'end': 383, 'answer': 'If sperm donations are allowed with this law'}"
26,"elon vous, la baisse des impôts au niveau fédéral représente-elle une priorité pour les quatre prochaines année",1,"""Should we lower taxes?""",,Finances,taxes,1.0,"{'score': 0.00013126460544299334, 'start': 64, 'end': 73, 'answer': 'CO2 taxes'}"
27,tes-vous en faveur d'une nouvelle réduction des contributions versées par les cantons financièrement forts aux cantons financièrement faibles dans le cadre de la péréquation financièr,1,"""Should cantons support each other?""",,Finances,financial equalisation ,1.0,"{'score': 2.18784134631278e-05, 'start': 64, 'end': 73, 'answer': 'CO2 taxes'}"
28,es couples mariés devraient-ils être imposés en tant que personnes individuelles (imposition individuelle,4,"""Do you believe in individual taxation?""",,Finances,individual taxation; married,0.0,"{'score': 0.00042879139073193073, 'start': 0, 'end': 73, 'answer': 'Those who believe that they can stop global warming by means of CO2 taxes'}"
29,tes-vous en faveur d'une restriction de la concurrence entre les cantons en matière d'imposition des entreprise,4,"""Are you in favor of restricting competition between cantons in the area of corporate taxation?''",,Finances,company taxation,0.0,"{'score': 1.2245158131918288e-06, 'start': 64, 'end': 73, 'answer': 'CO2 taxes'}"
