Unnamed: 0,tweets,time,language,translated_tweets
0,Ich bin im Komitee,2022-12-18 18:25:44+00:00,"((0, 18, 'Unknown', 'un'),)",NA
1,Wieder zu viel geraucht heute?,2022-12-18 16:09:14+00:00,"((0, 30, 'Unknown', 'un'),)",NA
3,Man sollte die armen Schüler vor seinen Texten schützen:,2022-12-18 07:40:38+00:00,"((0, 58, 'GERMAN', 'de'),)",[{'translation_text': 'One should protect the poor students from his texts:'}]
4,Ein FDP-ler fordert flächendeckend Tempo 30 ... dran denken bei den Wahlen 2023!,2022-12-18 07:32:44+00:00,"((0, 81, 'GERMAN', 'de'),)",[{'translation_text': 'An FDP-ler is calling for full speed 30 ... remember in the 2023 elections!'}]
5,"Es wird Zeit, aus der   auszutreten!",2022-12-18 07:29:55+00:00,"((0, 36, 'Unknown', 'un'),)",NA
6,will ein verdientes Mitglied im Swisscom-VR in ihren letzten Tagen als Bundesrätin handstreichartig durch ihren Generalsekretär ersetzen - das ist übelste Vetterliwirtschaft! Und zudem: Wie nahe stehen sich die zwei?,2022-12-17 06:32:27+00:00,"((0, 219, 'GERMAN', 'de'),)",[{'translation_text': 'A well-deserved member of the Swisscom-VR wants to hand-pickedly replace her secretary-general in her last days as Federal Councillor - this is the worst nepotism! And also: How close are the two?'}]
7,"Zufällig  gesehen … ist das echt die beste Moderatorin, die zur Verfügung stand?",2022-12-17 04:47:11+00:00,"((0, 84, 'GERMAN', 'de'),)",[{'translation_text': 'By chance... is this really the best presenter available?'}]
8,"Die Armee gehört an die Grenze! Was heute beschlossen wurde, ist reine Symptombekämpfung! «Subsidiärer Einsatz» wie bei Corona: Bund bietet wegen Flüchtlings-Ansturm die Armee auf",2022-12-16 11:18:43+00:00,"((0, 185, 'GERMAN', 'de'),)",[{'translation_text': 'The army belongs to the border! What was decided today is pure symptom-fighting! «Subsidiary deployment» as with Corona: Federation offers the army because of refugee rush'}]
9,"Immer wieder spannend, die Ausgewogenheit der Berichterstattung der   zu beobachten … blau über SVP-Rösti - rot über SP-Baume-Schneider …",2022-12-16 06:44:22+00:00,"((0, 144, 'GERMAN', 'de'),)",[{'translation_text': 'Time and again exciting to observe the balance of reporting the ... blue about SVP-Rösti - red over SP-tree cutters ...'}]
10,Sollte man nicht eher die Schüler vor Philipp Wampflers  Texten schützen - unvergessen sein Blog:,2022-12-16 06:41:38+00:00,"((0, 99, 'GERMAN', 'de'),)","[{'translation_text': ""Shouldn't you rather protect the students from Philipp Wampfler's texts - be unforgettable blog:""}]"
11,Anonymer Feigling,2022-12-12 14:46:12+00:00,"((0, 17, 'Unknown', 'un'),)",NA
12,"Nein, natürlich Gas-Import mittels Schiffen, welche für die Überfahrt 3200 to Rohöl verbrauchen … (Ironie off)",2022-12-12 09:16:11+00:00,"((0, 116, 'GERMAN', 'de'),)","[{'translation_text': 'No, of course, gas import by means of ships that consume 3200 tons of crude oil for the crossing ... (Ironie off)'}]"
13,"Mit Ideologie lässt sich weder Strom gewinnen, noch heizen …",2022-12-12 03:54:12+00:00,"((0, 63, 'GERMAN', 'de'),)","[{'translation_text': 'Ideology cannot generate electricity, nor can it heat ...'}]"
14,"… bei Frau NR Badran ist jede Unflätigkeit als Humor zu werten - ein SVP-ler, der Gleiches über Frau NR Badran schriebe, würde von den Medien gejagt und müsste zurücktreten …",2022-12-10 08:11:03+00:00,"((0, 183, 'GERMAN', 'de'),)","[{'translation_text': '... with Mrs. NR Badran every lack of clarity is to be regarded as humor - an SVP-ler, who wrote the same about Mrs. NR Badran, would be chased by the media and would have to resign ...'}]"
15,Wer bringt Ihnen Rechtschreibung bei?,2022-12-09 06:06:59+00:00,"((0, 37, 'GERMAN', 'de'),)","[{'translation_text': ""Who's teaching you spelling?""}]"
16,"Genau - bei Frau NR Badran ist jede Unflätigkeit als Humor zu werten - ein SVP-ler, der Gleiches über Frau NR Badran schriebe, würde von Ihnen und den Medien gejagt und müsste zurücktreten …",2022-12-09 05:40:09+00:00,"((0, 197, 'GERMAN', 'de'),)","[{'translation_text': 'Precisely - with Mrs. NR Badran every lack of clarity is to be regarded as a humor - an SVP-ler who wrote the same about Mrs. NR Badran, would be chased by you and the media and would have to step back ...'}]"
17,Wer stoppt  ?,2022-12-08 15:45:39+00:00,"((0, 13, 'Unknown', 'un'),)",NA
18,Wann bitte wurde ich von welcher Instanz wegen Ehrverletzung verurteilt ?,2022-12-08 07:27:09+00:00,"((0, 73, 'GERMAN', 'de'),)","[{'translation_text': 'When, please, was I convicted by what instance of dishonor?'}]"
19,a) ich wurde nie wegen Betrugs verurteilt b) ich verdiene mein Leben nicht mit dem NR-Mandat,2022-12-06 12:21:57+00:00,"((0, 92, 'GERMAN', 'de'),)","[{'translation_text': ""a) I was never convicted of fraud b) I don't deserve my life with the NR mandate""}]"
20,An Ihrer Stelle würde ich diesen völlig tatsachenwidrigen Beitrag löschen!,2022-12-06 11:21:23+00:00,"((0, 77, 'GERMAN', 'de'),)","[{'translation_text': ""If I were you, I'd delete this completely unsubstantiated post!""}]"
21,Also Sie kennen die Rechnung offensichtlich nicht - sonst hätten Sie wenigstens den Namen unserer Musikgesellschaft richtig benannt,2022-12-06 07:39:47+00:00,"((0, 132, 'GERMAN', 'de'),)","[{'translation_text': ""So you obviously don't know the bill - otherwise you would at least have named the name of our music company correctly""}]"
22,Woher kennen Sie die Rechnung unserer Musikgesellschaft?,2022-12-06 07:38:47+00:00,"((0, 56, 'GERMAN', 'de'),)",[{'translation_text': 'How do you know the bill of our music company?'}]
23,"Da hast Du für einmal völlig recht - unglaublich, was der von Euch hochgezüchtete Staat uns alles vorschreiben will …",2022-12-06 07:26:38+00:00,"((0, 122, 'GERMAN', 'de'),)",[{'translation_text': 'You are absolutely right for once - incredible what the state you raised wants to prescribe for us ...'}]
24,"Kulturhaus  - es beweist, das Sozialisten wie    nur mit unseren Steuergeldern überleben - sobald sie selbst etwas machen sollten, sind sie überfordert und gehen konkurs …",2022-12-06 07:25:15+00:00,"((0, 175, 'GERMAN', 'de'),)","[{'translation_text': ""House of Culture - it proves that socialists survive like only with our taxpayers' money - as soon as they should do something themselves, they are overwhelmed and go concur ...""}]"
25,"Es ist Zeit, Mr. President …",2022-12-06 07:21:12+00:00,"((0, 30, 'Unknown', 'un'),)",NA
26,Anonymer Feigling,2022-12-05 13:32:50+00:00,"((0, 17, 'Unknown', 'un'),)",NA
27,Das ist ja ein schönes Früchtchen …   IchHabeMitgemacht,2022-12-05 09:40:23+00:00,"((0, 59, 'GERMAN', 'de'),)","[{'translation_text': ""That's a nice fruit... I've been with you.""}]"
