,questions,smartvote_answers,Simplified question,Unnamed: 3,Topic,Keywords,binary_smarvote_answer,huggingface_answers
0,tes-vous favorable à une hausse de l'âge de la retraite (p. ex. à 67 ans,1,''Are you in favour of raising the retirement age?'',,Family,pension; AHV; AVS,1.0,"{'score': 0.009831558912992477, 'start': 4868, 'end': 4877, 'answer': 'sri lanka'}"
1,'État devrait-il renforcer son soutien financier à la création de structures d'accueil extra-familia,4,''Should the state support childcare? '',,Family,benefit; childcare; nursery,0.0,"{'score': 0.035095810890197754, 'start': 4350, 'end': 4372, 'answer': 'the federal government'}"
2,ne initiative demande l'instauration d'un congé paternité payé de quatre semaines. Êtes-vous en faveur de cette propositio,4,''Are you in favour of a paternity leave?'',,Family,paternity; leave ,0.0,"{'score': 0.0035367729142308235, 'start': 264, 'end': 278, 'answer': 'andreas rettig'}"
3,es rentes de la caisse de pension doivent-elles être adaptées à l'allongement de l'espérance de vie (réduction du taux de conversion,4,''Should the finance state pension funds?'',,Family,pension; life expectancy,0.0,"{'score': 0.10839856415987015, 'start': 4933, 'end': 4948, 'answer': 'development aid'}"
4,outenez-vous les efforts au niveau des cantons visant à réduire les prestations d'aide social,1,''Are you in favor of benefits?'',,Family,benefits; social assistance,1.0,"{'score': 0.16551409661769867, 'start': 4933, 'end': 4948, 'answer': 'development aid'}"
5,a Confédération devrait-elle encourager davantage la construction de logements d'utilité publiqu,4,''Are you in favor of public housing?'',,Family,social housing; construction; public housing,0.0,"{'score': 0.009814958088099957, 'start': 6730, 'end': 6736, 'answer': 'racism'}"
6,es personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale),4,''Should the health insurance cost more'',,Health,health cost; health care cost; premium,0.0,"{'score': 0.01859523542225361, 'start': 6705, 'end': 6736, 'answer': ""the smell doesn't fit is racism""}"
7,pprouveriez-vous le principe du consentement présumé pour le don dorgane,1,''Is organ donation good?'',,Health,organ; donation,1.0,"{'score': 0.016926124691963196, 'start': 6705, 'end': 6736, 'answer': ""the smell doesn't fit is racism""}"
8,"ne vaccination obligatoire des enfants, basée sur le plan de vaccination suisse, devrait-elle être instauré",4,''Should vaccines be compulsory? '',,Health,vaccine; vaccination,0.0,"{'score': 0.004641492385417223, 'start': 6720, 'end': 6736, 'answer': ""'t fit is racism""}"
9,ne initiative demande que les subsides aux assurances maladie soient conçus de manière à ce que personne n'ait à consacrer plus de dix pour cent de son revenu disponible au paiement des primes. Soutenez-vous cette propositio,4,''Should health be proportional to your income?'',,Health,insurance; premium; subsidies,0.0,"{'score': 0.00683863228186965, 'start': 5544, 'end': 5594, 'answer': 'we only should be now come seven percent predicted'}"
10,ne initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette propositio,1,''Should health care costs be reduced?'',,Health,cost brake; health care cost,1.0,"{'score': 0.0076055871322751045, 'start': 6327, 'end': 6401, 'answer': 'the condition that we already make the team of the neighboring Switzerland'}"
11,État devrait-il davantage sengager pour une égalité des chances en matière de formation (p. ex. par des cours de rattrapage subventionnés destinés aux élèves issus de familles à faible revenu,1,''Should we care about education opportunities?'',,Education,education opportunities; subsidies; courses,1.0,"{'score': 0.021031716838479042, 'start': 5544, 'end': 5612, 'answer': 'we only should be now come seven percent predicted it is now good in'}"
12,ensez-vous qu'il soit juste que les écoles octroient des dispenses scolaires en raison de motifs religieux pour certaines matières ou événements (p. ex. le sport ou l'éducation sexuelle,4,''Should schools exempts classes?'',,Education,religion; sex education,0.0,"{'score': 0.011045551858842373, 'start': 6730, 'end': 6736, 'answer': 'racism'}"
13,a Confédération devrait-elle accroître son soutien financier à la formation continue et à la reconversion professionnell,4,''Should education have more funding?'',,Education,education support; reconversion,0.0,"{'score': 0.005489315837621689, 'start': 6730, 'end': 6736, 'answer': 'racism'}"
14,e concept de l'école intégrative prévoit que les enfants ayant des difficultés d'apprentissage ou des handicaps soient scolarisé·e·s dans des classes ordinaires. Soutenez-vous cette approch,4,''Do you support inclusive schools?'',,Education,learning; school; disabilities,0.0,"{'score': 0.008617028594017029, 'start': 6705, 'end': 6736, 'answer': ""the smell doesn't fit is racism""}"
15,eriez-vous favorable à ce que le droit de vote et d'élection soit introduit au niveau communal pour les personnes étrangères qui résident en Suisse depuis au moins dix ans,4,'Should foreigners vote?'',,Immigration,vote; resident; communal elections,0.0,"{'score': 0.018847815692424774, 'start': 6730, 'end': 6736, 'answer': 'racism'}"
16,a limitation de l'immigration a-t-elle pour vous la priorité sur le maintien des accords bilatéraux avec l'U,1,''Should we limit immigration from EU?'',,Immigration,bilateral; EU; immigration,1.0,"{'score': 0.04278738424181938, 'start': 6390, 'end': 6401, 'answer': 'Switzerland'}"
17,es personnes sans-papiers devraient-elles pouvoir obtenir plus facilement un statut de séjour régularis,4,''Should undocumented migrants receive a status?'',,Immigration,undocumented; residence; migrants,0.0,"{'score': 0.01677839271724224, 'start': 3130, 'end': 3163, 'answer': 'one has to have illegal migration'}"
18,tes-vous en faveur d'un durcissement supplémentaire du droit à l'asil,1,''Are you in favor of asylum?'',,Immigration,asylum,1.0,"{'score': 0.03331685811281204, 'start': 3219, 'end': 3241, 'answer': 'pure economic refugees'}"
19,es conditions de naturalisation devraient-elles être revues à la hauss,1,''Should the conditions for naturaliation be increased?'',,Immigration,naturalisation,1.0,"{'score': 0.031995899975299835, 'start': 4255, 'end': 4297, 'answer': 'the atlantic would not be so much improved'}"
20,a Confédération devrait-elle soutenir davantage les étrangères et étrangers dans leur intégratio,4,"""Should we support foreigner integration?""",,Immigration,integration,0.0,"{'score': 0.022579921409487724, 'start': 6705, 'end': 6736, 'answer': ""the smell doesn't fit is racism""}"
21,a consommation de cannabis devrait-elle être légalisée,4,"""Should cannabis be legal?""",,Society,cannabis,0.0,"{'score': 0.042203035205602646, 'start': 1268, 'end': 1316, 'answer': 'legalized before illegal day of the season paper'}"
22,es couples de même sexe devraient-ils avoir les mêmes droits dans tous les domaines que les couples hétérosexuel,1,"""Do we believe in homosexuality equality?""",,Society,homosexual; gay,1.0,"{'score': 0.02142041176557541, 'start': 6705, 'end': 6736, 'answer': ""the smell doesn't fit is racism""}"
23,a réglementation de la procréation médicalement assistée devrait-elle être assoupli,4,' Should the regulation of assisted reproduction be relaxed?'',,Society,reproducation,0.0,"{'score': 0.00884857214987278, 'start': 6730, 'end': 6736, 'answer': 'racism'}"
24,tes-vous en faveur d'un contrôle plus strict de l'égalité des salaires entre hommes et femme,4,"""Do you support stricter control of equal pay for men and women?''",,Society,equal; salaries,0.0,"{'score': 0.005241737700998783, 'start': 6327, 'end': 6401, 'answer': 'the condition that we already make the team of the neighboring Switzerland'}"
25,eriez-vous favorable à ce qu'un médecin soit autorisé à administrer l'euthanasie active directe en Suiss,1,"""Should euthanasia be legal?""",,Society,doctor; euthanasia ,1.0,"{'score': 0.012016942724585533, 'start': 3146, 'end': 3163, 'answer': 'illegal migration'}"
26,"elon vous, la baisse des impôts au niveau fédéral représente-elle une priorité pour les quatre prochaines année",1,"""Should we lower taxes?""",,Finances,taxes,1.0,"{'score': 0.01780409924685955, 'start': 6705, 'end': 6736, 'answer': ""the smell doesn't fit is racism""}"
27,tes-vous en faveur d'une nouvelle réduction des contributions versées par les cantons financièrement forts aux cantons financièrement faibles dans le cadre de la péréquation financièr,1,"""Should cantons support each other?""",,Finances,financial equalisation ,1.0,"{'score': 0.00404404615983367, 'start': 5571, 'end': 5633, 'answer': 'seven percent predicted it is now good in and product is Swiss'}"
28,es couples mariés devraient-ils être imposés en tant que personnes individuelles (imposition individuelle,4,"""Do you believe in individual taxation?""",,Finances,individual taxation; married,0.0,"{'score': 0.008425191044807434, 'start': 6545, 'end': 6626, 'answer': 'brother klaus quote where even more Swiss and less than comparison he brings down'}"
29,tes-vous en faveur d'une restriction de la concurrence entre les cantons en matière d'imposition des entreprise,4,"""Are you in favor of restricting competition between cantons in the area of corporate taxation?''",,Finances,company taxation,0.0,"{'score': 0.010503432713449001, 'start': 6327, 'end': 6401, 'answer': 'the condition that we already make the team of the neighboring Switzerland'}"
30,es ménages privés devraient-ils pouvoir choisir librement leur fournisseur d'électricité (libéralisation complète du marché de l'électricité),1,"""Should we be a able to choose their electricity supplier?""",,Economy,electricity,1.0,"{'score': 0.045154377818107605, 'start': 6346, 'end': 6401, 'answer': 'we already make the team of the neighboring Switzerland'}"
31,tes-vous favorable à l'introduction d'un salaire minimum de 4000 CHF pour toutes les personnes salariées pour un poste à plein temp,4,"""Are you in favor of a minimum wage?""",,Economy,wage,0.0,"{'score': 0.01847170665860176, 'start': 3711, 'end': 3741, 'answer': 'dusik billione development aid'}"
32,es entreprises suisses devraient-elles être mieux être protégées du risque de rachat par des investisseurs étrangers en introduisant des contrôles sur les investissements,2,"""Should we protect Swiss companies from foreign takeovers?""",,Economy,FDI; investement controls; takeovers,1.0,"{'score': 0.08398842811584473, 'start': 6346, 'end': 6401, 'answer': 'we already make the team of the neighboring Switzerland'}"
33,eriez-vous favorable à une libéralisation complète des heures d'ouverture des magasin,1,"""Should stores choose their opening hours?""",,Economy,opening hours; shops,1.0,"{'score': 0.007777006831020117, 'start': 2917, 'end': 2927, 'answer': 'over night'}"
34,aut-il renforcer la protection contre le licenciement des travailleuses et travailleurs plus âgé·e·s,4,"""Should the protection against dismissal of older workers be strengthened? ''",,Economy,dismissal; workers,0.0,"{'score': 0.01786312647163868, 'start': 6327, 'end': 6401, 'answer': 'the condition that we already make the team of the neighboring Switzerland'}"
35,"a Confédération devrait-elle davantage soutenir l'offre des services publics (p. ex. transports publics, poste) dans les régions rurale",1,"""Should we support public services in rural areas?""",,Economy,public services; post office,1.0,"{'score': 0.03544815257191658, 'start': 6390, 'end': 6401, 'answer': 'Switzerland'}"
