Column1;questions;smartvote_answers;Simplified question;Unnamed: 3;Topic;Keywords;binary_smarvote_answer;huggingface_answers;cami_answers
0;tes-vous favorable à une hausse de l'âge de la retraite (p. ex. à 67 ans;1;''Are you in favour of raising the retirement age?'';;Family;"pension; AHV; AVS";1;{'score': 0.11170733720064163, 'start': 321, 'end': 407, 'answer': 'Asking for something unrealistic by sticking hands to the tar is not very constructive'};2
1;'État devrait-il renforcer son soutien financier à la création de structures d'accueil extra-familia;3;''Should the state support childcare? '';;Family;"benefit; childcare; nursery";0;{'score': 0.0915219858288765, 'start': 321, 'end': 407, 'answer': 'Asking for something unrealistic by sticking hands to the tar is not very constructive'};2
2;ne initiative demande l'instauration d'un congé paternité payé de quatre semaines. Êtes-vous en faveur de cette propositio;1;''Are you in favour of a paternity leave?'';;Family;"paternity; leave ";1;{'score': 0.07459041476249695, 'start': 321, 'end': 407, 'answer': 'Asking for something unrealistic by sticking hands to the tar is not very constructive'};2
3;es rentes de la caisse de pension doivent-elles être adaptées à l'allongement de l'espérance de vie (réduction du taux de conversion;1;''Should the finance state pension funds?'';;Family;"pension; life expectancy";1;{'score': 0.03930806368589401, 'start': 321, 'end': 407, 'answer': 'Asking for something unrealistic by sticking hands to the tar is not very constructive'};2
4;outenez-vous les efforts au niveau des cantons visant à réduire les prestations d'aide social;3;''Are you in favor of benefits?'';;Family;"benefits; social assistance";0;{'score': 0.04316568747162819, 'start': 321, 'end': 407, 'answer': 'Asking for something unrealistic by sticking hands to the tar is not very constructive'};2
5;a Confédération devrait-elle encourager davantage la construction de logements d'utilité publiqu;3;''Are you in favor of public housing?'';;Family;"social housing; construction; public housing";0;{'score': 0.2207994908094406, 'start': 321, 'end': 407, 'answer': 'Asking for something unrealistic by sticking hands to the tar is not very constructive'};2
6;es personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale);2;''Should the health insurance cost more'';;Health;"health cost; health care cost; premium";1;{'score': 0.039787426590919495, 'start': 2894, 'end': 2941, 'answer': 'it is the confederation that assures the prices'};0
7;pprouveriez-vous le principe du consentement présumé pour le don dorgane;2;''Is organ donation good?'';;Health;"organ; donation";1;{'score': 0.14415423572063446, 'start': 2428, 'end': 2451, 'answer': 'freedom of organization'};2
8;ne vaccination obligatoire des enfants, basée sur le plan de vaccination suisse, devrait-elle être instauré;2;''Should vaccines be compulsory? '';;Health;"vaccine; vaccination";1;{'score': 0.033538222312927246, 'start': 1090, 'end': 1113, 'answer': 'Choose not to vaccinate'};2
9;ne initiative demande que les subsides aux assurances maladie soient conçus de manière à ce que personne n'ait à consacrer plus de dix pour cent de son revenu disponible au paiement des primes. Soutenez-vous cette propositio;4;''Should health be proportional to your income?'';;Health;"insurance; premium; subsidies";0;{'score': 0.07606954872608185, 'start': 1765, 'end': 1793, 'answer': 'the balance is not as simple'};2
10;ne initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette propositio;2;''Should health care costs be reduced?'';;Health;"cost brake; health care cost";1;{'score': 0.05137499421834946, 'start': 2543, 'end': 2561, 'answer': 'premium reductions'};1
11;État devrait-il davantage sengager pour une égalité des chances en matière de formation (p. ex. par des cours de rattrapage subventionnés destinés aux élèves issus de familles à faible revenu;2;''Should we care about education opportunities?'';;Education;"education opportunities; subsidies; courses";1;"{'score': 0.012130986899137497, 'start': 706, 'end': 756, 'answer': ""the state must take care of the child\\'s education""}";1
12;ensez-vous qu'il soit juste que les écoles octroient des dispenses scolaires en raison de motifs religieux pour certaines matières ou événements (p. ex. le sport ou l'éducation sexuelle;4;''Should schools exempts classes?'';;Education;"religion; sex education";0;{'score': 9.039683391165454e-06, 'start': 111, 'end': 136, 'answer': 'Suspend digital education'};2
13;a Confédération devrait-elle accroître son soutien financier à la formation continue et à la reconversion professionnell;1;''Should education have more funding?'';;Education;"education support; reconversion";1;{'score': 0.0002026167931035161, 'start': 111, 'end': 156, 'answer': 'Suspend digital education is not the solution'};2
14;e concept de l'école intégrative prévoit que les enfants ayant des difficultés d'apprentissage ou des handicaps soient scolarisé·e·s dans des classes ordinaires. Soutenez-vous cette approch;3;''Do you support inclusive schools?'';;Education;"learning; school; disabilities";0;{'score': 5.255831638351083e-06, 'start': 111, 'end': 156, 'answer': 'Suspend digital education is not the solution'};2
15;eriez-vous favorable à ce que le droit de vote et d'élection soit introduit au niveau communal pour les personnes étrangères qui résident en Suisse depuis au moins dix ans;1;'Should foreigners vote?'';;Immigration;"vote; resident; communal elections";1;{'score': 0.025326615199446678, 'start': 1168, 'end': 1178, 'answer': 'bilaterals'};2
16;a limitation de l'immigration a-t-elle pour vous la priorité sur le maintien des accords bilatéraux avec l'U;4;''Should we limit immigration from EU?'';;Immigration;"bilateral; EU; immigration";0;{'score': 0.04966086894273758, 'start': 1392, 'end': 1424, 'answer': 'To bury the framework agreements'};2
17;es personnes sans-papiers devraient-elles pouvoir obtenir plus facilement un statut de séjour régularis;3;''Should undocumented migrants receive a status?'';;Immigration;"undocumented; residence; migrants";0;{'score': 0.015131978318095207, 'start': 1392, 'end': 1466, 'answer': 'To bury the framework agreements without asking the question to Parliament'};2
18;tes-vous en faveur d'un durcissement supplémentaire du droit à l'asil;3;''Are you in favor of asylum?'';;Immigration;asylum;0;{'score': 0.05510793253779411, 'start': 96, 'end': 127, 'answer': 'If I have decided to be present'};2
19;es conditions de naturalisation devraient-elles être revues à la hauss;3;''Should the conditions for naturaliation be increased?'';;Immigration;naturalisation;0;{'score': 0.014330481179058552, 'start': 1168, 'end': 1222, 'answer': 'bilaterals are excellent and that they must be pursued'};2
20;a Confédération devrait-elle soutenir davantage les étrangères et étrangers dans leur intégratio;2;"""Should we support foreigner integration?""";;Immigration;integration;1;{'score': 0.0269890446215868, 'start': 905, 'end': 924, 'answer': 'European solidarity'};2
21;a consommation de cannabis devrait-elle être légalisée;2;"""Should cannabis be legal?""";;Society;cannabis;1;{'score': 0.0007217696984298527, 'start': 264, 'end': 268, 'answer': '1848'};2
22;es couples de même sexe devraient-ils avoir les mêmes droits dans tous les domaines que les couples hétérosexuel;2;"""Do we believe in homosexuality equality?""";;Society;"homosexual; gay";1;{'score': 0.0028903158381581306, 'start': 264, 'end': 268, 'answer': '1848'};2
23;a réglementation de la procréation médicalement assistée devrait-elle être assoupli;2;' Should the regulation of assisted reproduction be relaxed?'';;Society;reproducation;1;{'score': 0.0027661933563649654, 'start': 170, 'end': 209, 'answer': 'is not bound by the observance of rules'};2
24;tes-vous en faveur d'un contrôle plus strict de l'égalité des salaires entre hommes et femme;2;"""Do you support stricter control of equal pay for men and women?''";;Society;"equal; salaries";1;{'score': 0.0020049556624144316, 'start': 264, 'end': 268, 'answer': '1848'};2
