,question,smartvote_answers,binary_smarvote_answer,huggingface_answers,cami_answers,Topic,Keywords,Simplified question
0,Êtes-vous favorable à une hausse de l'âge de la retraite (p. ex. à 67 ans)?,4,0.0,"{'score': 0.2664937674999237, 'start': 5877, 'end': 5878, 'answer': '.'}",,family,pension; AHV; AVS,''Are you in favour of raising the retirement age?''
1, L'État devrait-il renforcer son soutien financier à la création de structures d'accueil extra-familial?,1,1.0,"{'score': 0.15069851279258728, 'start': 2437, 'end': 2505, 'answer': 'the states have voted in favour of the retirement of women at age 65'}",,family,benefit; childcare; nursery,''Should the state support childcare? ''
2, Une initiative demande l'instauration d'un congé paternité payé de quatre semaines. Êtes-vous en faveur de cette proposition?,1,1.0,"{'score': 0.1529000699520111, 'start': 2866, 'end': 2874, 'answer': 'approval'}",,family,paternity; leave ,''Are you in favour of a paternity leave?''
3, Les rentes de la caisse de pension doivent-elles être adaptées à l'allongement de l'espérance de vie (réduction du taux de conversion)?,4,0.0,"{'score': 0.10519572347402573, 'start': 5815, 'end': 5848, 'answer': 'against the financing of armament'}",,family,pension; life expectancy,''Should the finance state pension funds?''
4, Soutenez-vous les efforts au niveau des cantons visant à réduire les prestations d'aide sociale?,4,0.0,"{'score': 0.1315333992242813, 'start': 2437, 'end': 2505, 'answer': 'the states have voted in favour of the retirement of women at age 65'}",,family,benefits; social assistance,''Are you in favor of benefits?''
5, La Confédération devrait-elle encourager davantage la construction de logements d'utilité publique?,1,1.0,"{'score': 0.17731474339962006, 'start': 5028, 'end': 5049, 'answer': 'we are not against it'}",,family,social housing; construction; public housing,''Are you in favor of public housing?''
6, Les personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale)? ,4,0.0,"{'score': 0.17913992702960968, 'start': 1857, 'end': 1909, 'answer': 'insurance premiums would not exceed 8% of the budget'}",,health,health cost; health care cost; premium,''Should the health insurance cost more''
7, Approuveriez-vous le principe du consentement présumé pour le don dorganes?,1,1.0,"{'score': 0.19708815217018127, 'start': 2332, 'end': 2341, 'answer': 'excellent'}",,health,organ; donation,''Is organ donation good?''
8,Une vaccination obligatoire des enfants basée sur le plan de vaccination suisse devrait-elle être instaurée?,1,1.0,"{'score': 0.07384467869997025, 'start': 9449, 'end': 9492, 'answer': 'the premiums of health funds must be capped'}",,health,vaccine; vaccination,''Should vaccines be compulsory? ''
9, Une initiative demande que les subsides aux assurances maladie soient conçus de manière à ce que personne n'ait à consacrer plus de dix pour cent de son revenu disponible au paiement des primes. Soutenez-vous cette proposition?,1,1.0,"{'score': 0.1678098440170288, 'start': 6584, 'end': 6634, 'answer': 'We must limit the health insurance premiums to 10%'}",,health,insurance; premium; subsidies,''Should health be proportional to your income?''
10, Une initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette proposition?,4,0.0,"{'score': 0.21664981544017792, 'start': 6584, 'end': 6634, 'answer': 'We must limit the health insurance premiums to 10%'}",,health,cost brake; health care cost,''Should health care costs be reduced?''
11, LÉtat devrait-il davantage sengager pour une égalité des chances en matière de formation (p. ex. par des cours de rattrapage subventionnés destinés aux élèves issus de familles à faible revenu)?,1,1.0,"{'score': 0.0015968112275004387, 'start': 865, 'end': 904, 'answer': 'why not look for young people in the EU'}",,education,education opportunities; subsidies; courses,''Should we care about education opportunities?''
12, Pensez-vous qu'il soit juste que les écoles octroient des dispenses scolaires en raison de motifs religieux pour certaines matières ou événements (p. ex. le sport ou l'éducation sexuelle)?,4,0.0,"{'score': 6.480981483036885e-06, 'start': 540, 'end': 592, 'answer': 'continuing education and vocational integration fund'}",,education,religion; sex education,''Should schools exempts classes?''
13, La Confédération devrait-elle accroître son soutien financier à la formation continue et à la reconversion professionnelle?,1,1.0,"{'score': 0.0174719225615263, 'start': 540, 'end': 592, 'answer': 'continuing education and vocational integration fund'}",,education,education support; reconversion,''Should education have more funding?''
14, Le concept de l'école intégrative prévoit que les enfants ayant des difficultés d'apprentissage ou des handicaps soient scolarisé·e·s dans des classes ordinaires. Soutenez-vous cette approche?,2,1.0,"{'score': 1.2678930033871438e-05, 'start': 540, 'end': 592, 'answer': 'continuing education and vocational integration fund'}",,education,learning; school; disabilities,''Do you support inclusive schools?''
15, Seriez-vous favorable à ce que le droit de vote et d'élection soit introduit au niveau communal pour les personnes étrangères qui résident en Suisse depuis au moins dix ans? ,1,1.0,"{'score': 0.40512409806251526, 'start': 4798, 'end': 4831, 'answer': 'taxpayers resident in Switzerland'}",,immigration,vote; resident; communal elections,'Should foreigners vote?''
