Column1;question;smartvote_answers;binary_smarvote_answer;huggingface_answers;cami_answers;Topic;Keywords;Simplified question
0;Êtes-vous favorable à une hausse de l'âge de la retraite (p. ex. à 67 ans)?;4;0;{'score': 0.43162935972213745, 'start': 136646, 'end': 136647, 'answer': '.'};2;Family;"pension; AHV; AVS";''Are you in favour of raising the retirement age?''
1; L'État devrait-il renforcer son soutien financier à la création de structures d'accueil extra-familial?;1;1;{'score': 0.23779381811618805, 'start': 133341, 'end': 133392, 'answer': 'Switzerland must support the ban on nuclear weapons'};2;Family;"benefit; childcare; nursery";''Should the state support childcare? ''
2; Une initiative demande l'instauration d'un congé paternité payé de quatre semaines. Êtes-vous en faveur de cette proposition?;1;1;{'score': 0.14900843799114227, 'start': 66906, 'end': 66962, 'answer': 'in favour of protection of the elderly from terminations'};2;Family;"paternity; leave ";''Are you in favour of a paternity leave?''
3; Les rentes de la caisse de pension doivent-elles être adaptées à l'allongement de l'espérance de vie (réduction du taux de conversion)?;4;0;{'score': 0.2869127094745636, 'start': 128504, 'end': 128511, 'answer': 'against'};1;Family;"pension; life expectancy";'Should the state finance less pension funds?''
4; Soutenez-vous les efforts au niveau des cantons visant à réduire les prestations d'aide sociale?;4;0;{'score': 0.3416380286216736, 'start': 115717, 'end': 115755, 'answer': 'parliamentary committees are in favour'};2;Family;"benefits; social assistance";''Are you in favor of benefits?''
5; La Confédération devrait-elle encourager davantage la construction de logements d'utilité publique?;1;1;{'score': 0.3898123502731323, 'start': 213334, 'end': 213339, 'answer': '29.3%'};2;Family;"social housing; construction; public housing";''Are you in favor of public housing?''
6; Les personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale)? ;4;0;{'score': 0.3959513306617737, 'start': 167232, 'end': 167258, 'answer': 'affordable housing for all'};2;Health;"health cost; health care cost; premium";''Should the health insurance cost more''
7; Approuveriez-vous le principe du consentement présumé pour le don dorganes?;1;1;{'score': 0.6784510016441345, 'start': 9779, 'end': 9780, 'answer': '.'};2;Health;"organ; donation";''Is organ donation good?''
8;Une vaccination obligatoire des enfants basée sur le plan de vaccination suisse devrait-elle être instaurée?;1;1;{'score': 0.23264029622077942, 'start': 109785, 'end': 109823, 'answer': 'nuclear weapons have never been banned'};2;Health;"vaccine; vaccination";''Should vaccines be compulsory? ''
9; Une initiative demande que les subsides aux assurances maladie soient conçus de manière à ce que personne n'ait à consacrer plus de dix pour cent de son revenu disponible au paiement des primes. Soutenez-vous cette proposition?;1;1;{'score': 0.2817971706390381, 'start': 121210, 'end': 121252, 'answer': 'citizen participation in the health sector'};2;Health;"insurance; premium; subsidies";''Should health be proportional to your income?''
10; Une initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette proposition?;4;0;{'score': 0.4493585526943207, 'start': 116898, 'end': 116948, 'answer': 'We must limit the health insurance premiums to 10%'};1;Health;"cost brake; health care cost";''Should health care costs be reduced?''
11; LÉtat devrait-il davantage sengager pour une égalité des chances en matière de formation (p. ex. par des cours de rattrapage subventionnés destinés aux élèves issus de familles à faible revenu)?;1;1;{'score': 0.1997160017490387, 'start': 121172, 'end': 121191, 'answer': 'vocational training'};2;Education;"education opportunities; subsidies; courses";''Should we care about education opportunities?''
12; Pensez-vous qu'il soit juste que les écoles octroient des dispenses scolaires en raison de motifs religieux pour certaines matières ou événements (p. ex. le sport ou l'éducation sexuelle)?;4;0;{'score': 0.4130185842514038, 'start': 173491, 'end': 173542, 'answer': 'Switzerland should suspend its cooperation projects'};2;Education;"religion; sex education";''Should schools exempts classes?''
13; La Confédération devrait-elle accroître son soutien financier à la formation continue et à la reconversion professionnelle?;1;1;{'score': 0.2582627832889557, 'start': 52034, 'end': 52072, 'answer': 'Parliament should have done much more.'};1;Education;"education support; reconversion";''Should education have more funding?''
14; Le concept de l'école intégrative prévoit que les enfants ayant des difficultés d'apprentissage ou des handicaps soient scolarisé·e·s dans des classes ordinaires. Soutenez-vous cette approche?;2;1;{'score': 0.2760761082172394, 'start': 136646, 'end': 136647, 'answer': '.'};2;Education;"learning; school; disabilities";''Do you support inclusive schools?''
15; Seriez-vous favorable à ce que le droit de vote et d'élection soit introduit au niveau communal pour les personnes étrangères qui résident en Suisse depuis au moins dix ans? ;1;1;{'score': 0.5911592245101929, 'start': 193787, 'end': 193804, 'answer': 'everyone can vote'};1;Immigration;"vote; resident; communal elections";'Should foreigners vote?''
16; La limitation de l'immigration a-t-elle pour vous la priorité sur le maintien des accords bilatéraux avec l'UE?;4;0;{'score': 0.2671664357185364, 'start': 116898, 'end': 116948, 'answer': 'We must limit the health insurance premiums to 10%'};2;Immigration;"bilateral; EU; immigration";''Should we limit immigration from EU?''
