questions;smartvote_answers;Simplified question;;Topic;Keywords
1. Êtes-vous favorable à une hausse de l'âge de la retraite (p. ex. à 67 ans)?;1;''Are you in favour of raising the retirement age?'';;Family;"pension; AHV; AVS"
2. L'État devrait-il renforcer son soutien financier à la création de structures d'accueil extra-familial?;4;''Should the state support childcare? '';;Family;"benefit; childcare; nursery"
3. Une initiative demande l'instauration d'un congé paternité payé de quatre semaines. Êtes-vous en faveur de cette proposition?;4;''Are you in favour of a paternity leave?'';;Family;"paternity; leave "
4. Les rentes de la caisse de pension doivent-elles être adaptées à l'allongement de l'espérance de vie (réduction du taux de conversion)?;4;''Should the finance state pension funds?'';;Family;"pension; life expectancy"
5. Soutenez-vous les efforts au niveau des cantons visant à réduire les prestations d'aide sociale?;1;''Are you in favor of benefits?'';;Family;"benefits; social assistance"
6. La Confédération devrait-elle encourager davantage la construction de logements d'utilité publique?;4;''Are you in favor of public housing?'';;Family;"social housing; construction; public housing"
1. Les personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale)? ;4;''Should the health insurance cost more'';;Health;"health cost; health care cost; premium"
2. Approuveriez-vous le principe du consentement présumé pour le don d’organes?;1;''Is organ donation good?'';;Health;"organ; donation"
3. Une vaccination obligatoire des enfants, basée sur le plan de vaccination suisse, devrait-elle être instaurée?;4;''Should vaccines be compulsory? '';;Health;"vaccine; vaccination"
4. Une initiative demande que les subsides aux assurances maladie soient conçus de manière à ce que personne n'ait à consacrer plus de dix pour cent de son revenu disponible au paiement des primes. Soutenez-vous cette proposition?;4;''Should health be proportional to your income?'';;Health;"insurance; premium; subsidies"
5. Une initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette proposition?;1;''Should health care costs be reduced?'';;Health;"cost brake; health care cost"
1. L’État devrait-il davantage s’engager pour une égalité des chances en matière de formation (p. ex. par des cours de rattrapage subventionnés destinés aux élèves issus de familles à faible revenu)?;1;''Should we care about education opportunities?'';;Education;"education opportunities; subsidies; courses"
2. Pensez-vous qu'il soit juste que les écoles octroient des dispenses scolaires en raison de motifs religieux pour certaines matières ou événements (p. ex. le sport ou l'éducation sexuelle)?;4;''Should schools exempts classes?'';;Education;"religion; sex education"
3. La Confédération devrait-elle accroître son soutien financier à la formation continue et à la reconversion professionnelle?;4;''Should education have more funding?'';;Education;"education support; reconversion"
4. Le concept de l'école intégrative prévoit que les enfants ayant des difficultés d'apprentissage ou des handicaps soient scolarisé·e·s dans des classes ordinaires. Soutenez-vous cette approche?;4;''Do you support inclusive schools?'';;Education;"learning; school; disabilities"
1. Seriez-vous favorable à ce que le droit de vote et d'élection soit introduit au niveau communal pour les personnes étrangères qui résident en Suisse depuis au moins dix ans? ;4;'Should foreigners vote?'';;Immigration;"vote; resident; communal elections"
2. La limitation de l'immigration a-t-elle pour vous la priorité sur le maintien des accords bilatéraux avec l'UE?;1;''Should we limit immigration from EU?'';;Immigration;"bilateral; EU; immigration"
3. Les personnes sans-papiers devraient-elles pouvoir obtenir plus facilement un statut de séjour régularisé?;4;''Should undocumented migrants receive a status?'';;Immigration;"undocumented; residence; migrants"
4. Êtes-vous en faveur d'un durcissement supplémentaire du droit à l'asile?;1;''Are you in favor of asylum?'';;Immigration;asylum
5. Les conditions de naturalisation devraient-elles être revues à la hausse?;1;''Should the conditions for naturaliation be increased?'';;Immigration;naturalisation
6. La Confédération devrait-elle soutenir davantage les étrangères et étrangers dans leur intégration?;4;"""Should we support foreigner integration?""";;Immigration;integration
1. La consommation de cannabis devrait-elle être légalisée? ;4;"""Should cannabis be legal?""";;Society;cannabis
2. Les couples de même sexe devraient-ils avoir les mêmes droits dans tous les domaines que les couples hétérosexuels?;1;"""Do we believe in homosexuality equality?""";;Society;"homosexual; gay"
