question;smartvote_answers;binary_smarvote_answer;huggingface_answers;cami_answers;Topic;Keywords;Simplified question
'1. Êtes-vous favorable à une hausse de l'âge de la retraite (p. ex. à 67 ans)?'';4;;;;family;"pension; AHV; AVS";''Are you in favour of raising the retirement age?''
''2. L'État devrait-il renforcer son soutien financier à la création de structures d'accueil extra-familial?'';1;;;;family;"benefit; childcare; nursery";''Should the state support childcare? ''
''3. Une initiative demande l'instauration d'un congé paternité payé de quatre semaines. Êtes-vous en faveur de cette proposition?'';1;;;;family;"paternity; leave ";''Are you in favour of a paternity leave?''
''4. Les rentes de la caisse de pension doivent-elles être adaptées à l'allongement de l'espérance de vie (réduction du taux de conversion)?'';4;;;;family;"pension; life expectancy";''Should the finance state pension funds?''
''5. Soutenez-vous les efforts au niveau des cantons visant à réduire les prestations d'aide sociale?'';4;;;;family;"benefits; social assistance";''Are you in favor of benefits?''
''6. La Confédération devrait-elle encourager davantage la construction de logements d'utilité publique?'';1;;;;family;"social housing; construction; public housing";''Are you in favor of public housing?''
''1. Les personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale)? '';4;;;;health;"health cost; health care cost; premium";''Should the health insurance cost more''
''2. Approuveriez-vous le principe du consentement présumé pour le don d’organes?'';1;;;;health;"organ; donation";''Is organ donation good?''
'3. Une vaccination obligatoire des enfants basée sur le plan de vaccination suisse devrait-elle être instaurée?'';1;;;;health;"vaccine; vaccination";''Should vaccines be compulsory? ''
''4. Une initiative demande que les subsides aux assurances maladie soient conçus de manière à ce que personne n'ait à consacrer plus de dix pour cent de son revenu disponible au paiement des primes. Soutenez-vous cette proposition?'';1;;;;health;"insurance; premium; subsidies";''Should health be proportional to your income?''
''5. Une initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette proposition?'';4;;;;health;"cost brake; health care cost";''Should health care costs be reduced?''
''1. L’État devrait-il davantage s’engager pour une égalité des chances en matière de formation (p. ex. par des cours de rattrapage subventionnés destinés aux élèves issus de familles à faible revenu)?'';1;;;;education;"education opportunities; subsidies; courses";''Should we care about education opportunities?''
''2. Pensez-vous qu'il soit juste que les écoles octroient des dispenses scolaires en raison de motifs religieux pour certaines matières ou événements (p. ex. le sport ou l'éducation sexuelle)?'';4;;;;education;"religion; sex education";''Should schools exempts classes?''
''3. La Confédération devrait-elle accroître son soutien financier à la formation continue et à la reconversion professionnelle?'';1;;;;education;"education support; reconversion";''Should education have more funding?''
''4. Le concept de l'école intégrative prévoit que les enfants ayant des difficultés d'apprentissage ou des handicaps soient scolarisé·e·s dans des classes ordinaires. Soutenez-vous cette approche?'';2;;;;education;"learning; school; disabilities";''Do you support inclusive schools?''
''1. Seriez-vous favorable à ce que le droit de vote et d'élection soit introduit au niveau communal pour les personnes étrangères qui résident en Suisse depuis au moins dix ans? '';1;;;;immigration;"vote; resident; communal elections";'Should foreigners vote?''
''2. La limitation de l'immigration a-t-elle pour vous la priorité sur le maintien des accords bilatéraux avec l'UE?'';4;;;;immigration;"bilateral; EU; immigration";''Should we limit immigration from EU?''
''3. Les personnes sans-papiers devraient-elles pouvoir obtenir plus facilement un statut de séjour régularisé?'';1;;;;immigration;"undocumented; residence; migrants";''Should undocumented migrants receive a status?''
