Column1;question;smartvote_answers;binary_smarvote_answer;huggingface_answers;cami_answers;Topic;Keywords;Simplified question
0;Êtes-vous favorable à une hausse de l'âge de la retraite (p. ex. à 67 ans)?;4;0;{'score': 0.12793013453483582, 'start': 3410, 'end': 3457, 'answer': 'against the rise in the retirement age of women'};0;family;"pension; AHV; AVS";''Are you in favour of raising the retirement age?''
1; L'État devrait-il renforcer son soutien financier à la création de structures d'accueil extra-familial?;1;1;{'score': 0.08400361984968185, 'start': 3653, 'end': 3716, 'answer': 'equal pay parental leave support for better childcare for women'};1;family;"benefit; childcare; nursery";''Should the state support childcare? ''
2; Une initiative demande l'instauration d'un congé paternité payé de quatre semaines. Êtes-vous en faveur de cette proposition?;1;1;{'score': 0.06410077214241028, 'start': 2271, 'end': 2279, 'answer': 'approval'};1;family;"paternity; leave ";''Are you in favour of a paternity leave?''
3; Les rentes de la caisse de pension doivent-elles être adaptées à l'allongement de l'espérance de vie (réduction du taux de conversion)?;4;0;{'score': 0.02118701860308647, 'start': 3315, 'end': 3367, 'answer': 'continuing education and vocational integration fund'};2;family;"pension; life expectancy";''Should the finance state pension funds?''
4; Soutenez-vous les efforts au niveau des cantons visant à réduire les prestations d'aide sociale?;4;0;{'score': 0.03596385940909386, 'start': 1842, 'end': 1910, 'answer': 'the states have voted in favour of the retirement of women at age 65'};2;family;"benefits; social assistance";''Are you in favor of benefits?''
5; La Confédération devrait-elle encourager davantage la construction de logements d'utilité publique?;1;1;{'score': 0.03899113088846207, 'start': 4433, 'end': 4454, 'answer': 'we are not against it'};1;family;"social housing; construction; public housing";''Are you in favor of public housing?''
6; Les personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale)? ;4;0;{'score': 0.016997814178466797, 'start': 1156, 'end': 1208, 'answer': 'insurance premiums would not exceed 8% of the budget'};0;health;"health cost; health care cost; premium";''Should the health insurance cost more''
7; Approuveriez-vous le principe du consentement présumé pour le don dorganes?;1;1;{'score': 0.09169254451990128, 'start': 6089, 'end': 6124, 'answer': 'A challenge supported by our donors'};2;health;"organ; donation";''Is organ donation good?''
8;Une vaccination obligatoire des enfants basée sur le plan de vaccination suisse devrait-elle être instaurée?;1;1;{'score': 0.035589467734098434, 'start': 5883, 'end': 5933, 'answer': 'We must limit the health insurance premiums to 10%'};2;health;"vaccine; vaccination";''Should vaccines be compulsory? ''
9; Une initiative demande que les subsides aux assurances maladie soient conçus de manière à ce que personne n'ait à consacrer plus de dix pour cent de son revenu disponible au paiement des primes. Soutenez-vous cette proposition?;1;1;{'score': 0.2287500500679016, 'start': 1166, 'end': 1208, 'answer': 'premiums would not exceed 8% of the budget'};1;health;"insurance; premium; subsidies";''Should health be proportional to your income?''
10; Une initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette proposition?;4;0;{'score': 0.1489700824022293, 'start': 5883, 'end': 5933, 'answer': 'We must limit the health insurance premiums to 10%'};2;health;"cost brake; health care cost";''Should health care costs be reduced?''
11; LÉtat devrait-il davantage sengager pour une égalité des chances en matière de formation (p. ex. par des cours de rattrapage subventionnés destinés aux élèves issus de familles à faible revenu)?;1;1;{'score': 0.0015968115767464042, 'start': 865, 'end': 904, 'answer': 'why not look for young people in the EU'};2;education;"education opportunities; subsidies; courses";''Should we care about education opportunities?''
12; Pensez-vous qu'il soit juste que les écoles octroient des dispenses scolaires en raison de motifs religieux pour certaines matières ou événements (p. ex. le sport ou l'éducation sexuelle)?;4;0;{'score': 6.480990123236552e-06, 'start': 540, 'end': 592, 'answer': 'continuing education and vocational integration fund'};2;education;"religion; sex education";''Should schools exempts classes?''
13; La Confédération devrait-elle accroître son soutien financier à la formation continue et à la reconversion professionnelle?;1;1;{'score': 0.017471879720687866, 'start': 540, 'end': 592, 'answer': 'continuing education and vocational integration fund'};1;education;"education support; reconversion";''Should education have more funding?''
14; Le concept de l'école intégrative prévoit que les enfants ayant des difficultés d'apprentissage ou des handicaps soient scolarisé·e·s dans des classes ordinaires. Soutenez-vous cette approche?;2;1;{'score': 1.2678929124376737e-05, 'start': 540, 'end': 592, 'answer': 'continuing education and vocational integration fund'};2;education;"learning; school; disabilities";''Do you support inclusive schools?''
15; Seriez-vous favorable à ce que le droit de vote et d'élection soit introduit au niveau communal pour les personnes étrangères qui résident en Suisse depuis au moins dix ans? ;1;1;{'score': 0.07428153604269028, 'start': 3284, 'end': 3299, 'answer': 'freedom to vote'};1;immigration;"vote; resident; communal elections";'Should foreigners vote?''
16; La limitation de l'immigration a-t-elle pour vous la priorité sur le maintien des accords bilatéraux avec l'UE?;4;0;{'score': 0.0813908651471138, 'start': 20732, 'end': 20758, 'answer': 'There is no other solution'};1;immigration;"bilateral; EU; immigration";''Should we limit immigration from EU?''
17; Les personnes sans-papiers devraient-elles pouvoir obtenir plus facilement un statut de séjour régularisé?;1;1;{'score': 0.23495040833950043, 'start': 15047, 'end': 15053, 'answer': 'asylum'};2;immigration;"undocumented; residence; migrants";''Should undocumented migrants receive a status?''
18; Êtes-vous en faveur d'un durcissement supplémentaire du droit à l'asile?;4;0;{'score': 0.12521684169769287, 'start': 19304, 'end': 19339, 'answer': 'We need to build a popular majority'};2;immigration;asylum;''Are you in favor of asylum?''
19; Les conditions de naturalisation devraient-elles être revues à la hausse?;4;0;{'score': 0.4348451793193817, 'start': 1164, 'end': 1178, 'answer': 'Rent increases'};2;immigration;naturalisation;''Should the conditions for naturaliation be increased?''
20; La Confédération devrait-elle soutenir davantage les étrangères et étrangers dans leur intégration?;1;1;{'score': 0.17979130148887634, 'start': 12581, 'end': 12658, 'answer': 'it would be necessary to eliminate discrimination against them by consistency'};1;immigration;integration;"""Should we support foreigner integration?"""
21; La consommation de cannabis devrait-elle être légalisée? ;1;1;{'score': 0.27285245060920715, 'start': 1953, 'end': 1965, 'answer': 'criminal law'};2;society;cannabis;"""Should cannabis be legal?"""
22; Les couples de même sexe devraient-ils avoir les mêmes droits dans tous les domaines que les couples hétérosexuels?;1;1;{'score': 0.11909804493188858, 'start': 2156, 'end': 2199, 'answer': 'Switzerland is doing less well than Hungary'};2;society;"homosexual; gay";"""Do we believe in homosexuality equality?"""
23;La réglementation de la procréation médicalement assistée devrait-elle être assouplie?;1;1;{'score': 0.03851780667901039, 'start': 1932, 'end': 1965, 'answer': 'His proposal becomes criminal law'};2;society;reproducation;' Should the regulation of assisted reproduction be relaxed?''
