Unnamed: 0,tweets,likes,time,politician_id,language,translated_tweets
0,Présentation aujourd’hui de l’appel de la société civile au Conseil fédéral pour une signature et ratification par la Suisse du Traité d’interdiction des armes nucléaires. C’est le moment pour la Suisse d’être du bon côté de l’histoire !  TIAN TPNW,22,2022-11-28 17:44:18+00:00,CarloSommaruga,"((0, 270, 'FRENCH', 'fr'),)","[{'translation_text': ""Today's presentation of the appeal of civil society to the Federal Council for a signature and ratification by Switzerland of the Treaty on the Prohibition of Nuclear Weapons. It's time for Switzerland to be on the right side of history!""}]"
2,Solidarité avec les infirmières et infirmiers qui sur la place fédérale revendiquent des meilleurs salaires et plus de considération !,9,2022-11-26 13:32:53+00:00,CarloSommaruga,"((0, 139, 'FRENCH', 'fr'),)",[{'translation_text': 'Solidarity with nurses who in the federal square claim better wages and more consideration!'}]
3,Bravo à Elisabeth Beaune Schneider et Eva Herzog pour leur nomination,15,2022-11-26 12:53:43+00:00,CarloSommaruga,"((0, 70, 'FRENCH', 'fr'),)",[{'translation_text': 'Congratulations to Elisabeth Beaune Schneider and Eva Herzog on their appointment'}]
4,Groupe socialiste aux Chambres fédérales au cours des auditions des trois candidates à la candidature au Conseil fédéral ! Suspens politique !,0,2022-11-26 12:28:54+00:00,CarloSommaruga,"((0, 147, 'FRENCH', 'fr'),)",[{'translation_text': 'Socialist Group in the Federal Chambers during the hearings of the three candidates for nomination to the Federal Council! Political suspensions!'}]
5,"Félicitations pour ce Doctorat honoris causa de l'Université de Bâle en raison de l'engagement sans faille en faveur de la justice internationale. Grâce à l'ONG  qu'a fondé Philip Grant, les auteurs de crimes internationaux ne peuvent plus venir en Suisse le cœur léger.",5,2022-11-25 16:18:33+00:00,CarloSommaruga,"((0, 150, 'Unknown', 'un'), (150, 128, 'FRENCH', 'fr'))",NA
11,"Après 12 ans au Conseil fédéral, la Conseillère fédérale Simonetta Sommaruga annonce son départ fin 2022 pour des raisons personnelles liées à la grave détérioration de l’état de santé de son époux. D’ores et déjà un grand merci pour ton engagement, Cara Simonetta !",34,2022-11-02 14:07:45+00:00,CarloSommaruga,"((0, 287, 'FRENCH', 'fr'),)","[{'translation_text': ""After 12 years at the Federal Council, Federal Councillor Simonetta Sommaruga announces her departure at the end of 2022 for personal reasons linked to the serious deterioration of her husband's state of health. Thank you very much for your commitment, Cara Simonetta!""}]"
12,La commission des affaires juridiques doit renoncer spontanément à ses deux projets anti locataires. Ce d’autant plus que  est prête à lancer les referendum. Les milieux immobiliers pensent-ils vraiment gagner la bataille au moment où les loyers exploseront ?,2,2022-10-20 09:19:10+00:00,CarloSommaruga,"((0, 266, 'FRENCH', 'fr'),)","[{'translation_text': 'The Committee on Legal Affairs must spontaneously give up its two anti-tenant projects, all the more so as it is ready to launch the referendums. Do the real estate community really think it will win the battle when the rents will explode?'}]"
15,"C'est moins que l'inflation de 3,4% et qui au surplus ne tient pas compte de l'augmentation des primes d'assurance maladie. Lors de la session parlementaire d'automne les chambres ont adopté des motions qui demandent une pleine adaptation des rentes au renchérissement.",5,2022-10-12 16:46:14+00:00,CarloSommaruga,"((0, 271, 'FRENCH', 'fr'),)",[{'translation_text': 'This is less than inflation of 3.4% and which in surplus does not take into account the increase in health insurance premiums. At the autumn parliamentary session the chambers adopted motions calling for a full adjustment of the pensions to the increase.'}]
16,CH-UE: Rencontre studieuse des parlementaires suisses et européens pour une meilleure compréhension sur les relations Suisse-Union européenne et les différents existants.,1,2022-10-07 09:58:49+00:00,CarloSommaruga,"((0, 174, 'FRENCH', 'fr'),)",[{'translation_text': 'CH-EU: Studying meeting of Swiss and European parliamentarians for a better understanding of Swiss-European Union relations and the different existing ones.'}]
18,"+6,6% en Suisse, soit une augmentation moyenne de 20,7.- CHF par personne et par mois ! 
Des mesures urgentes sont nécessaires, comme l'exige le PS, pour réduire les primes de l'assurance maladie en 2023.",5,2022-09-27 14:31:01+00:00,CarloSommaruga,"((0, 206, 'FRENCH', 'fr'),)","[{'translation_text': '+6.6% in Switzerland, an average increase of CHF 20.7 per person per month! Urgent measures are needed, as required by the PS, to reduce the premiums for health insurance in 2023.'}]"
22,La majorité du Conseil des États s'est une nouvelle fois montrée insensible à la situation des classes moyennes et populaires face à l'inflation et à la hausse des prix de l'énergie.,16,2022-09-26 18:51:30+00:00,CarloSommaruga,"((0, 189, 'FRENCH', 'fr'),)",[{'translation_text': 'The majority of the Council of States has once again been insensitive to the situation of the middle and working classes in the face of inflation and rising energy prices.'}]
23,Pas sûr ! Les résultats sont à ce stade très serrés pour l’AVS !,0,2022-09-25 10:20:12+00:00,CarloSommaruga,"((0, 71, 'FRENCH', 'fr'),)",[{'translation_text': 'Not sure! The results are at this stage very close for the AVS!'}]
24,"Geneve, canton progressiste, dit 2 x NON à AVS 21 et NON à la suppression de l’impôt anticipé. Je suis fier des citoyennes et citoyens genevois!",35,2022-09-25 10:08:44+00:00,CarloSommaruga,"((0, 150, 'FRENCH', 'fr'),)","[{'translation_text': 'Geneve, progressive canton, says 2 x NO to AVS 21 and NO to the elimination of the advance tax. I am proud of the citizens of Geneva!'}]"
28,"Alors que le Conseil fédéral annonce des déficits budgétaires pour les années à venir, il est hors de question d’offrir des cadeaux fiscaux aux multinationales. Il est important de voter et de voter NON à la suppression de l’impôt anticipé.",6,2022-09-14 08:08:53+00:00,CarloSommaruga,"((0, 253, 'FRENCH', 'fr'),)","[{'translation_text': 'While the Federal Council is announcing budget deficits for the coming years, it is out of the question of offering tax gifts to multinationals. It is important to vote and vote NO to abolish the advance tax.'}]"
35,Les excédents du fonds AVS pour 2020 et 2021 sont un fait vrai qui se trouve à la p.76 du Rapport de gestion 2021 du Fond AVS ! Ne vous laissez pas influencer par un fakejournaliste !,0,2022-08-26 12:28:02+00:00,CarloSommaruga,"((0, 185, 'FRENCH', 'fr'),)","[{'translation_text': ""The surplus of the AVS fund for 2020 and 2021 is a true fact which is at p.76 of the Management Report 2021 of the AVS Fund! Don't let yourself be influenced by a fakejournalist!""}]"
36,"Es ist pikant, dass ein Fakejournalist, aber ein echter Ideologe, dennoch eine wahre Tatsache bestreitet, die auf S. 76 des Geschäftsberichts 2021 des AHV-Fonds zu finden ist! Daher ein NEIN zu den Fakejournalisten und ein 2 x NEIN zur AHV 21.",4,2022-08-26 12:22:12+00:00,CarloSommaruga,"((0, 244, 'GERMAN', 'de'),)","[{'translation_text': 'It is piqued that a fake journalist, but a real ideologist, nevertheless denies a true fact, which can be found on page 76 of the Annual Report 2021 of the AHV Fund! Therefore a NO to the fake journalists and a 2 x NO to the AHV 21.'}]"
38,Les statuts permettent l’élection directe et par l’ensemble des Suissesses et Suisses de chaque pays. Certaines sections ont testé le vote general avec succès. Je suis convaincu qu’il faut que cela se généralise. Nous devons donc introduire l’è-voting aussi au sein du CSE !,1,2022-08-22 05:44:51+00:00,CarloSommaruga,"((0, 288, 'FRENCH', 'fr'),)","[{'translation_text': 'The statutes allow for direct election and by all the Swiss from each country. Some sections have successfully tested the general vote. I am convinced that this must be generalised, so we must also introduce voting within the SSC!'}]"
39,Les Suisses et Suissesses sont un peuple de locataires. Ils et elles représentent 61% de la population.,5,2022-08-21 06:23:55+00:00,CarloSommaruga,"((0, 104, 'FRENCH', 'fr'),)","[{'translation_text': 'The Swiss are a people of tenants, and they represent 61% of the population.'}]"
40,Rencontre avec l’équipe de foot du Grand Conseil genevois à Lugano au tournoi parlementaire entre deux séances du Conseil des suisses de l’étranger ! A toute l’équipe bravo ! Genève,1,2022-08-20 11:33:57+00:00,CarloSommaruga,"((0, 193, 'FRENCH', 'fr'),)",[{'translation_text': 'Meeting with the football team of the Grand Council of Geneva in Lugano at the parliamentary tournament between two meetings of the Council of Swiss from abroad! To the whole team bravo! Geneva'}]
59,"Alors que sur ma proposition le parlement a adopté en 2019 une motion demandant au Conseil fédéral de signer et ratifier le Traité d'interdiction des armes nucléaires (TIAN), le Conseil fédéral méprise le parlement et renvoie au calendes grecques la signature. cassisflop",8,2022-06-21 16:01:04+00:00,CarloSommaruga,"((0, 279, 'FRENCH', 'fr'),)","[{'translation_text': 'While on my proposal the parliament adopted in 2019 a motion asking the Federal Council to sign and ratify the Treaty for the Prohibition of Nuclear Weapons (TIAN), the Federal Council despises the parliament and refers to the Greek calendes the signature.'}]"
60,"C'est aujourd'hui la Journée mondiale des réfugiés, pour toutes ces personnes qui sont obligées de quitter leur pays et leurs connaissances pour échapper aux bombes, à la faim et à la dictature. Notre politique de migration et d'asile doit enfin devenir plus solidaire.",6,2022-06-20 15:55:36+00:00,CarloSommaruga,"((0, 276, 'FRENCH', 'fr'),)","[{'translation_text': 'Today is World Refugee Day, for all these people who are forced to leave their country and their knowledge in order to escape from bombs, hunger and dictatorship. Our migration and asylum policy must finally become more united.'}]"
61,"Le pouvoir d'achat de nombreuses personnes est soumis à une pression croissante : les salaires et les pensions stagnent, mais les prix de l'énergie, les loyers et les primes d'assurance maladie ne cessent d'augmenter.",4,2022-06-17 15:10:01+00:00,CarloSommaruga,"((0, 219, 'FRENCH', 'fr'),)","[{'translation_text': 'The purchasing power of many people is under increasing pressure: wages and pensions are stagnating, but energy prices, rents and health insurance premiums continue to rise.'}]"
64,"L'attitude socialement irresponsable du PLR, Centre et UDC, mettra de nombreux locataires à l'AVS ou à l'AI dans une situation financière très précaire avec risque de résiliation du contrat si les montants ne sont pas payés.",7,2022-06-15 15:07:41+00:00,CarloSommaruga,"((0, 231, 'FRENCH', 'fr'),)","[{'translation_text': 'The socially irresponsible attitude of the PLR, Centre and UDC will place many tenants at the AVS or the AI in a very precarious financial situation with the risk of termination of the contract if the amounts are not paid.'}]"
67,Le Conseil national a accepté ma proposition d'inscrire dans la loi sur les embargos le principe de mesures de coercition contre les personnes et les entités qui participent à de graves violations du droit international humanitaire ou à des violations des droits de l’homme.,15,2022-06-10 10:42:34+00:00,CarloSommaruga,"((0, 280, 'FRENCH', 'fr'),)",[{'translation_text': 'The National Council accepted my proposal to include in the embargo law the principle of coercive measures against persons and entities involved in serious violations of international humanitarian law or human rights violations.'}]
68,"Aujourd'hui la Suisse assume finalement ça pleine responsabilité en entrant au Conseil de sécurité. Que le travail de préparation de cette élection par Mme Micheline Calmy Rey et de Monsieur Didier Burkhalter, soit correctement mis en valeur par l'actuel chef du DFAE !",18,2022-06-09 15:51:32+00:00,CarloSommaruga,"((0, 275, 'FRENCH', 'fr'),)","[{'translation_text': 'Today Switzerland finally assumes full responsibility by entering the Security Council. May the work of preparing for this election by Mrs. Micheline Calmy Rey and Mr. Didier Burkhalter, be properly highlighted by the current head of the DFAE!'}]"
72,"La majorité bourgeoise décide d'augmenter le budget de l'armée sans discuter au préalable d'une stratégie.
Il convient d'abord de s'attaquer aux principaux risques, à savoir la dépendance à l'égard du gaz et du pétrole, le changement climatique, l'accroissement des inégalités.",10,2022-06-02 11:45:29+00:00,CarloSommaruga,"((0, 289, 'FRENCH', 'fr'),)","[{'translation_text': ""The bourgeois majority decided to increase the army's budget without first discussing a strategy. First of all, it was necessary to tackle the main risks, namely dependence on gas and oil, climate change and increasing inequalities.""}]"
73,"La Banque nationale suisse (BNS) amasse des milliards de bénéfices. Cet argent appartient à la population et doit enfin nous revenir. C’est précisément ce que veut l’initiative sur la BNS : avec elle, nous pourrons renforcer l’AVS sans toucher au portemonnaie des travailleur.",4,2022-05-24 15:50:13+00:00,CarloSommaruga,"((0, 287, 'FRENCH', 'fr'),)","[{'translation_text': ""The Swiss National Bank (SNB) collects billions of profits. This money belongs to the population and must finally come back to us. This is precisely what the SNB initiative wants: with it, we can strengthen the AVS without touching the workers' wallet.""}]"
74,"Le PS Migrant-es demande les mêmes droits pour toutes les personnes fuyant la guerre
Lors de leur Conférence des délégué-es du samedi 21 mai à Berne, le PS Migrant-es a adopté un papier de position qui demande les mêmes droits pour toutes les personnes fuyant la guerre.",32,2022-05-24 10:35:49+00:00,CarloSommaruga,"((0, 278, 'FRENCH', 'fr'),)","[{'translation_text': 'The PS Migrant-es demands the same rights for all people fleeing the war At their Conference of Delegates on Saturday 21 May in Bern, the PS Migrant-es has adopted a position paper that demands the same rights for all people fleeing the war.'}]"
77,"Les accords prévoient qu’en cas de rejet d’un développement de Schengen-Dublin, les parties ont trois mois (90 jours) pour trouver une solution et que seulement en cas d’absence de solution, la Suisse sort des accords.",1,2022-05-12 18:03:29+00:00,CarloSommaruga,"((0, 226, 'FRENCH', 'fr'),)","[{'translation_text': 'The agreements provide that, in the event of a rejection of a development of Schengen-Dublin, the parties have three months (90 days) to find a solution and that only in the event of a lack of a solution, Switzerland emerges from the agreements.'}]"
79,"A Bruxelles pour un séminaire  Suisse-UE, diverses rencontres au menu aussi avec l’ambassadrice suisse et le commissaire européen en charge du dossier Suisse. Mais on commence tout de même avec une bonne bière belge !",8,2022-05-11 18:31:42+00:00,CarloSommaruga,"((0, 223, 'FRENCH', 'fr'),)","[{'translation_text': 'In Brussels for a Swiss-EU seminar, various meetings on the menu also with the Swiss ambassador and the European Commissioner in charge of the Swiss case. But we still start with a good Belgian beer!'}]"
80,Task-Force sur les avoirs des oligarques proches de Poutine. Enfin une session extraordinaire pour améliorer les outils de d'identifications la fortune.,6,2022-05-11 10:12:38+00:00,CarloSommaruga,"((0, 153, 'FRENCH', 'fr'),)",[{'translation_text': 'Task-Force on the assets of oligarchs close to Putin. Finally an extraordinary session to improve the tools of identification of fortune.'}]
83,"Votations 15 MAI 2022

 Modification de la loi sur le cinéma
 Modification de la loi sur la transplantation
 Augmentation du financement de Frontex",4,2022-05-09 11:12:05+00:00,CarloSommaruga,"((0, 148, 'FRENCH', 'fr'),)",[{'translation_text': 'Votes 15 MAY 2022 Amendment to the Cinema Act Amendment to the Transplantation Act Increase in Frontex funding'}]
