,tweets,likes,time,politician_id,language,translated_tweets
0,Présentation aujourd’hui de l’appel de la société civile au Conseil fédéral pour une signature et ratification par la Suisse du Traité d’interdiction des armes nucléaires. C’est le moment pour la Suisse d’être du bon côté de l’histoire !  TIAN TPNW,22,2022-11-28 17:44:18+00:00,CarloSommaruga,"((0, 270, 'FRENCH', 'fr'),)",Today's presentation of the appeal of civil society to the Federal Council for a signature and ratification by Switzerland of the Treaty on the Prohibition of Nuclear Weapons. It's time for Switzerland to be on the right side of history!
1,Solidarité avec les infirmières et infirmiers qui sur la place fédérale revendiquent des meilleurs salaires et plus de considération !,9,2022-11-26 13:32:53+00:00,CarloSommaruga,"((0, 139, 'FRENCH', 'fr'),)",Solidarity with nurses who in the federal square claim better wages and more consideration!
2,Bravo à Elisabeth Beaune Schneider et Eva Herzog pour leur nomination,15,2022-11-26 12:53:43+00:00,CarloSommaruga,"((0, 70, 'FRENCH', 'fr'),)",Congratulations to Elisabeth Beaune Schneider and Eva Herzog on their appointment
3,Groupe socialiste aux Chambres fédérales au cours des auditions des trois candidates à la candidature au Conseil fédéral ! Suspens politique !,0,2022-11-26 12:28:54+00:00,CarloSommaruga,"((0, 147, 'FRENCH', 'fr'),)",Socialist Group in the Federal Chambers during the hearings of the three candidates for nomination to the Federal Council! Political suspensions!
4,"Après 12 ans au Conseil fédéral, la Conseillère fédérale Simonetta Sommaruga annonce son départ fin 2022 pour des raisons personnelles liées à la grave détérioration de l’état de santé de son époux. D’ores et déjà un grand merci pour ton engagement, Cara Simonetta !",34,2022-11-02 14:07:45+00:00,CarloSommaruga,"((0, 287, 'FRENCH', 'fr'),)","After 12 years at the Federal Council, Federal Councillor Simonetta Sommaruga announces her departure at the end of 2022 for personal reasons linked to the serious deterioration of her husband's state of health. Thank you very much for your commitment, Cara Simonetta!"
5,La commission des affaires juridiques doit renoncer spontanément à ses deux projets anti locataires. Ce d’autant plus que  est prête à lancer les referendum. Les milieux immobiliers pensent-ils vraiment gagner la bataille au moment où les loyers exploseront ?,2,2022-10-20 09:19:10+00:00,CarloSommaruga,"((0, 266, 'FRENCH', 'fr'),)","The Committee on Legal Affairs must spontaneously give up its two anti-tenant projects, all the more so as it is ready to launch the referendums. Do the real estate community really think it will win the battle when the rents will explode?"
6,"C'est moins que l'inflation de 3,4% et qui au surplus ne tient pas compte de l'augmentation des primes d'assurance maladie. Lors de la session parlementaire d'automne les chambres ont adopté des motions qui demandent une pleine adaptation des rentes au renchérissement.",5,2022-10-12 16:46:14+00:00,CarloSommaruga,"((0, 271, 'FRENCH', 'fr'),)",This is less than inflation of 3.4% and which in surplus does not take into account the increase in health insurance premiums. At the autumn parliamentary session the chambers adopted motions calling for a full adjustment of the pensions to the increase.
7,CH-UE: Rencontre studieuse des parlementaires suisses et européens pour une meilleure compréhension sur les relations Suisse-Union européenne et les différents existants.,1,2022-10-07 09:58:49+00:00,CarloSommaruga,"((0, 174, 'FRENCH', 'fr'),)",CH-EU: Studying meeting of Swiss and European parliamentarians for a better understanding of Swiss-European Union relations and the different existing ones.
8,"+6,6% en Suisse, soit une augmentation moyenne de 20,7.- CHF par personne et par mois ! 
Des mesures urgentes sont nécessaires, comme l'exige le PS, pour réduire les primes de l'assurance maladie en 2023.",5,2022-09-27 14:31:01+00:00,CarloSommaruga,"((0, 206, 'FRENCH', 'fr'),)","+6.6% in Switzerland, an average increase of CHF 20.7 per person per month! Urgent measures are needed, as required by the PS, to reduce the premiums for health insurance in 2023."
9,La majorité du Conseil des États s'est une nouvelle fois montrée insensible à la situation des classes moyennes et populaires face à l'inflation et à la hausse des prix de l'énergie.,16,2022-09-26 18:51:30+00:00,CarloSommaruga,"((0, 189, 'FRENCH', 'fr'),)",The majority of the Council of States has once again been insensitive to the situation of the middle and working classes in the face of inflation and rising energy prices.
